"feature"	"imp_rank_raw"	"imp_rank"	"imp_sign"	"dat"	"seed"	"imp_rank_frac_raw"	"imp_rank_frac"
"2"	"underweightyes"	37	13	"Negative"	"infection_patient-kleborate_lr"	"0"	0.486842105263158	0.171052631578947
"3"	"Tmt.DfrA12"	53	23	"Positive"	"infection_patient-kleborate_lr"	"0"	0.697368421052632	0.302631578947368
"4"	"resistance_score"	56	31	"Positive"	"infection_patient-kleborate_lr"	"0"	0.736842105263158	0.407894736842105
"5"	"LOSbeforeCx"	75	74	"Positive"	"infection_patient-kleborate_lr"	"0"	0.986842105263158	0.973684210526316
"6"	"anti_pseudo30yes"	13	50	"Negative"	"infection_patient-kleborate_lr"	"0"	0.171052631578947	0.657894736842105
"7"	"Yersiniabactin._ICEKp10"	65	57	"Positive"	"infection_patient-kleborate_lr"	"0"	0.855263157894737	0.75
"8"	"Bla_broad_inhR.TEM.54"	62	49	"Positive"	"infection_patient-kleborate_lr"	"0"	0.815789473684211	0.644736842105263
"9"	"Flq.GyrA.87Y"	48	10	"Positive"	"infection_patient-kleborate_lr"	"0"	0.631578947368421	0.131578947368421
"10"	"AGly.StrA"	10.5	53.5	"Negative"	"infection_patient-kleborate_lr"	"0"	0.138157894736842	0.703947368421053
"11"	"ctx30yes"	70	67	"Positive"	"infection_patient-kleborate_lr"	"0"	0.921052631578947	0.881578947368421
"12"	"AGly.AadA2"	21	36	"Negative"	"infection_patient-kleborate_lr"	"0"	0.276315789473684	0.473684210526316
"13"	"wziwzi154"	54	24	"Positive"	"infection_patient-kleborate_lr"	"0"	0.710526315789474	0.315789473684211
"14"	"malignancyyes"	7	63	"Negative"	"infection_patient-kleborate_lr"	"0"	0.0921052631578947	0.828947368421053
"15"	"CHFyes"	45	6	"Positive"	"infection_patient-kleborate_lr"	"0"	0.592105263157895	0.0789473684210526
"16"	"AKIyes"	71	68	"Positive"	"infection_patient-kleborate_lr"	"0"	0.934210526315789	0.894736842105263
"17"	"CKDyes"	23	34	"Negative"	"infection_patient-kleborate_lr"	"0"	0.302631578947368	0.447368421052632
"18"	"TetTetA"	15	47	"Negative"	"infection_patient-kleborate_lr"	"0"	0.197368421052632	0.618421052631579
"19"	"pseudoPCN30yes"	25	32	"Negative"	"infection_patient-kleborate_lr"	"0"	0.328947368421053	0.421052631578947
"20"	"num_resistance_genes"	14	48	"Negative"	"infection_patient-kleborate_lr"	"0"	0.184210526315789	0.631578947368421
"21"	"linezolid30yes"	39	7	"Negative"	"infection_patient-kleborate_lr"	"0"	0.513157894736842	0.0921052631578947
"22"	"Sul.SulII"	8	61	"Negative"	"infection_patient-kleborate_lr"	"0"	0.105263157894737	0.802631578947368
"23"	"ColMgrB.trunc"	5	65	"Negative"	"infection_patient-kleborate_lr"	"0"	0.0657894736842105	0.855263157894737
"24"	"Sul.SulIII"	9	55	"Negative"	"infection_patient-kleborate_lr"	"0"	0.118421052631579	0.723684210526316
"25"	"Bla.OXA.9"	30	25	"Negative"	"infection_patient-kleborate_lr"	"0"	0.394736842105263	0.328947368421053
"26"	"Yersiniabactin.ybt_17"	41	3	"Negative"	"infection_patient-kleborate_lr"	"0"	0.539473684210526	0.0394736842105263
"27"	"AGly.AadA1.pm"	46	8	"Positive"	"infection_patient-kleborate_lr"	"0"	0.605263157894737	0.105263157894737
"28"	"Yersiniabactin.ybt_0"	66	58	"Positive"	"infection_patient-kleborate_lr"	"0"	0.868421052631579	0.763157894736842
"29"	"Flq.GyrA.87N"	50	14	"Positive"	"infection_patient-kleborate_lr"	"0"	0.657894736842105	0.184210526315789
"30"	"third_gen_ceph30yes"	55	30	"Positive"	"infection_patient-kleborate_lr"	"0"	0.723684210526316	0.394736842105263
"31"	"cefepime30yes"	43	2	"Positive"	"infection_patient-kleborate_lr"	"0"	0.565789473684211	0.0263157894736842
"32"	"FQ30yes"	26	29	"Negative"	"infection_patient-kleborate_lr"	"0"	0.342105263157895	0.381578947368421
"33"	"foleyyes"	31	22	"Negative"	"infection_patient-kleborate_lr"	"0"	0.407894736842105	0.289473684210526
"34"	"Sul.SulI"	22	35	"Negative"	"infection_patient-kleborate_lr"	"0"	0.289473684210526	0.460526315789474
"35"	"Tmt.DfrA14"	49	11	"Positive"	"infection_patient-kleborate_lr"	"0"	0.644736842105263	0.144736842105263
"36"	"virulence_score"	36	16	"Negative"	"infection_patient-kleborate_lr"	"0"	0.473684210526316	0.210526315789474
"37"	"AGly.Aph3.Ia"	19	39	"Negative"	"infection_patient-kleborate_lr"	"0"	0.25	0.513157894736842
"38"	"tobra30yes"	24	33	"Negative"	"infection_patient-kleborate_lr"	"0"	0.315789473684211	0.434210526315789
"39"	"num_resistance_classes"	33	19	"Negative"	"infection_patient-kleborate_lr"	"0"	0.434210526315789	0.25
"40"	"flagyl30yes"	2	70	"Negative"	"infection_patient-kleborate_lr"	"0"	0.0263157894736842	0.921052631578947
"41"	"O_locus_missing_genes.O1.O2v2_07_kfoC"	76	75	"Positive"	"infection_patient-kleborate_lr"	"0"	1	0.986842105263158
"42"	"AGly.StrB"	10.5	53.5	"Negative"	"infection_patient-kleborate_lr"	"0"	0.138157894736842	0.703947368421053
"43"	"carbapenem30yes"	40	5	"Negative"	"infection_patient-kleborate_lr"	"0"	0.526315789473684	0.0657894736842105
"44"	"AGly.Aph4.Ia"	28.5	26.5	"Negative"	"infection_patient-kleborate_lr"	"0"	0.375	0.348684210526316
"45"	"levo30yes"	44	4	"Positive"	"infection_patient-kleborate_lr"	"0"	0.578947368421053	0.0526315789473684
"46"	"Tmt.DfrA17"	34.5	17.5	"Negative"	"infection_patient-kleborate_lr"	"0"	0.453947368421053	0.230263157894737
"47"	"age"	16	46	"Negative"	"infection_patient-kleborate_lr"	"0"	0.210526315789474	0.605263157894737
"48"	"obeseyes"	3	69	"Negative"	"infection_patient-kleborate_lr"	"0"	0.0394736842105263	0.907894736842105
"49"	"decubyes"	67	59	"Positive"	"infection_patient-kleborate_lr"	"0"	0.881578947368421	0.776315789473684
"50"	"colistin30yes"	20	38	"Negative"	"infection_patient-kleborate_lr"	"0"	0.263157894736842	0.5
"51"	"AG30yes"	42	1	"Positive"	"infection_patient-kleborate_lr"	"0"	0.552631578947368	0.0131578947368421
"52"	"wziwzi29"	38	12	"Negative"	"infection_patient-kleborate_lr"	"0"	0.5	0.157894736842105
"53"	"Bla_CarbKPC.2"	32	21	"Negative"	"infection_patient-kleborate_lr"	"0"	0.421052631578947	0.276315789473684
"54"	"amikacin30yes"	61	45	"Positive"	"infection_patient-kleborate_lr"	"0"	0.802631578947368	0.592105263157895
"55"	"AGly.Aac3.Iva"	28.5	26.5	"Negative"	"infection_patient-kleborate_lr"	"0"	0.375	0.348684210526316
"56"	"resp_failureyes"	12	52	"Negative"	"infection_patient-kleborate_lr"	"0"	0.157894736842105	0.684210526315789
"57"	"Colibactinclb.3"	59	43	"Positive"	"infection_patient-kleborate_lr"	"0"	0.776315789473684	0.565789473684211
"58"	"gastroyes"	68	60	"Positive"	"infection_patient-kleborate_lr"	"0"	0.894736842105263	0.789473684210526
"59"	"AGly.AadA5"	34.5	17.5	"Negative"	"infection_patient-kleborate_lr"	"0"	0.453947368421053	0.230263157894737
"60"	"Bla_broadSHV.11"	4	66	"Negative"	"infection_patient-kleborate_lr"	"0"	0.0526315789473684	0.868421052631579
"61"	"Phe.CatA1"	18	41	"Negative"	"infection_patient-kleborate_lr"	"0"	0.236842105263158	0.539473684210526
"62"	"brain_injuryyes"	64	56	"Positive"	"infection_patient-kleborate_lr"	"0"	0.842105263157895	0.736842105263158
"63"	"poly_colistin30yes"	60	44	"Positive"	"infection_patient-kleborate_lr"	"0"	0.789473684210526	0.578947368421053
"64"	"central_lineyes"	72	71	"Positive"	"infection_patient-kleborate_lr"	"0"	0.947368421052632	0.934210526315789
"65"	"VDRFyes"	73	72	"Positive"	"infection_patient-kleborate_lr"	"0"	0.960526315789474	0.947368421052632
"66"	"MLS.MphA"	17	42	"Negative"	"infection_patient-kleborate_lr"	"0"	0.223684210526316	0.552631578947368
"67"	"K_locusKL107"	58	40	"Positive"	"infection_patient-kleborate_lr"	"0"	0.763157894736842	0.526315789473684
"68"	"lung_dzyes"	63	51	"Positive"	"infection_patient-kleborate_lr"	"0"	0.828947368421053	0.671052631578947
"69"	"Bla_CarbKPC.3"	6	64	"Negative"	"infection_patient-kleborate_lr"	"0"	0.0789473684210526	0.842105263157895
"70"	"zosyn30yes"	47	9	"Positive"	"infection_patient-kleborate_lr"	"0"	0.618421052631579	0.118421052631579
"71"	"trachyes"	1	76	"Negative"	"infection_patient-kleborate_lr"	"0"	0.0131578947368421	1
"72"	"tigecycline30yes"	74	73	"Positive"	"infection_patient-kleborate_lr"	"0"	0.973684210526316	0.960526315789474
"73"	"Bla.SHV.187"	27	28	"Negative"	"infection_patient-kleborate_lr"	"0"	0.355263157894737	0.368421052631579
"74"	"vanco30yes"	52	20	"Positive"	"infection_patient-kleborate_lr"	"0"	0.684210526315789	0.263157894736842
"75"	"meropenem30yes"	69	62	"Positive"	"infection_patient-kleborate_lr"	"0"	0.907894736842105	0.815789473684211
"76"	"sexmale"	51	15	"Positive"	"infection_patient-kleborate_lr"	"0"	0.671052631578947	0.197368421052632
"77"	"Bias"	57	37	"Positive"	"infection_patient-kleborate_lr"	"0"	0.75	0.486842105263158
"78"	"Tmt.DfrA12"	24	35	"Negative"	"infection_patient-kleborate_lr"	"1"	0.315789473684211	0.460526315789474
"79"	"resistance_score"	41	1	"Positive"	"infection_patient-kleborate_lr"	"1"	0.539473684210526	0.0131578947368421
"80"	"LOSbeforeCx"	59	48	"Positive"	"infection_patient-kleborate_lr"	"1"	0.776315789473684	0.631578947368421
"81"	"anti_pseudo30yes"	26	32	"Negative"	"infection_patient-kleborate_lr"	"1"	0.342105263157895	0.421052631578947
"82"	"Yersiniabactin._ICEKp10"	68	66	"Positive"	"infection_patient-kleborate_lr"	"1"	0.894736842105263	0.868421052631579
"83"	"underweightyes"	57	30	"Positive"	"infection_patient-kleborate_lr"	"1"	0.75	0.394736842105263
"84"	"Flq.GyrA.87Y"	21	38	"Negative"	"infection_patient-kleborate_lr"	"1"	0.276315789473684	0.5
"85"	"AGly.StrA"	9.5	52.5	"Negative"	"infection_patient-kleborate_lr"	"1"	0.125	0.690789473684211
"86"	"ctx30yes"	65	62	"Positive"	"infection_patient-kleborate_lr"	"1"	0.855263157894737	0.815789473684211
"87"	"AGly.AadA2"	13	46	"Negative"	"infection_patient-kleborate_lr"	"1"	0.171052631578947	0.605263157894737
"88"	"CHFyes"	27	31	"Negative"	"infection_patient-kleborate_lr"	"1"	0.355263157894737	0.407894736842105
"89"	"AKIyes"	73	72	"Positive"	"infection_patient-kleborate_lr"	"1"	0.960526315789474	0.947368421052632
"90"	"CKDyes"	54	27	"Positive"	"infection_patient-kleborate_lr"	"1"	0.710526315789474	0.355263157894737
"91"	"Tmt.DfrA14"	52	22	"Positive"	"infection_patient-kleborate_lr"	"1"	0.684210526315789	0.289473684210526
"92"	"pseudoPCN30yes"	14	45	"Negative"	"infection_patient-kleborate_lr"	"1"	0.184210526315789	0.592105263157895
"93"	"num_resistance_genes"	12	47	"Negative"	"infection_patient-kleborate_lr"	"1"	0.157894736842105	0.618421052631579
